,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
47,LON-WEI-0a73fcb8-3,85.87970000000003,2,5,1,68.52000000000001,140.7620756980949,3.026600000000001,-7.5,6.929053736485738,-77.7242,7.037559814907307,0.0,7.5793695,0,0
48,LON-WEI-0a73fcb8-4,89.18170000000003,4,5,1,69.03999999999999,144.71639122601974,2.7573200000000013,-7.1,6.929840469030969,-72.4609,7.01606054290154,0.0,0.2817205,0,0
49,LON-WEI-0a73fcb8-5,86.96200000000003,2,3,0,42.43000000000001,138.16845817847866,3.917500000000003,-7.1,6.561453818903319,-77.0376,6.811579918747918,0.0,9.8818955,0,0
50,LON-WEI-0a73fcb8-6,89.13770000000004,3,4,1,51.22,138.0254679642064,4.424700000000003,-5.9,6.639889395881894,-78.32300000000002,6.8132384315684345,0.0,6.853396000000001,0,0
51,LON-WEI-0a73fcb8-7,83.09450000000002,3,4,2,71.45,132.44945421719768,2.7321000000000013,-7.4,6.67794158269508,-73.4504,6.826286764790767,58.930355553955,84.22906,1,1
52,LON-WEI-1908424e-1,67.17010000000002,5,5,1,90.06,108.5864635634586,1.1077,-6.3,5.994515039238545,-76.0605,6.386525655344659,,4.0908545,0,0
53,LON-WEI-1908424e-2,125.1051,6,5,3,107.41,190.23965689211147,4.135170000000001,-7.2,7.092269880341879,-72.8291,7.549296724691977,,-3.350746,0,0
54,LON-WEI-1908424e-3,98.53640000000004,3,9,1,102.52,164.22316067706996,1.2077999999999998,-8.5,7.341434334165841,-90.5268,7.534083721611728,,5.9733985,0,0
55,LON-WEI-1908424e-4,112.44480000000004,4,7,2,107.85,169.25294136824138,2.9106700000000005,-8.2,7.447450012376512,-92.2923,7.462577554723049,,3.823635,0,0
56,LON-WEI-1908424e-5,103.53770000000002,6,6,3,119.62000000000002,166.30614570392586,2.670080000000001,-7.9,7.463130553391056,-84.0794,7.5572172461427485,,-11.867232000000001,0,0
57,LON-WEI-1908424e-6,107.86080000000004,9,7,1,100.0,173.584476950165,2.9160000000000013,-6.1,6.139384268065269,-81.7786,7.090087715173711,,2.418483,0,0
58,LON-WEI-1908424e-7,109.88150000000005,3,6,2,86.00000000000001,176.64358015568916,2.9475000000000016,-8.6,7.375674947774451,-83.515,7.251013996781004,,-4.2364735,0,0
59,LON-WEI-1908424e-8,114.23650000000004,6,4,0,63.16,174.2742497924021,5.380100000000003,-8.1,7.214060009712509,-88.4762,7.1858663212065705,,-0.67555405,0,0
60,LON-WEI-1908424e-9,98.6147,5,3,3,99.26,152.9815067586462,2.6072,-8.6,6.775000826839817,-86.9407,7.357026040459544,,-22.3142995,0,0
