CID,qvina,rfscore_qvina,plants,rfscore_plants
RAI-NOV-2f6a9876-1,-7.8,7.227844120934621,-84.8855,6.897953443167932
JAN-GHE-83b26c96-21,-6.4,6.125544473359968,-68.1261,6.4423225098790065
JAG-UCB-47403a7c-1,-6.8,6.426143021811527,-74.2508,6.315340527084026
MED-COV-4280ac29-37,-6.1,6.726124188200688,-78.2996,6.901526253246755
WAR-XCH-b6889685-27,-7.4,7.010286021922524,-80.954,6.850456560439553
DAR-DIA-23aa0b97-6,-6.5,5.853945082417591,-71.5307,6.498756651404153
LON-WEI-adc59df6-54,-6.5,7.3680008460150885,-83.4343,7.171703935786438
JOO-IND-6372a4f3-2,-7.1,6.2596209758574775,-78.3968,6.258738239593736
NAU-LAT-64f4b287-9,-6.3,6.16468013059163,-75.0354,6.479131422244422
LON-WEI-adc59df6-59,-5.8,7.213755465728711,-77.8022,7.104118608946611
JAG-UCB-ef2c0e8e-7,-7.1,5.476763547563554,-77.7587,6.004486781440788
IAN-BAS-36ca50f1-1,-8.1,7.229296684704192,-83.1789,7.335999279165272
MAT-POS-590ac91e-8,-5.2,5.395769707792208,-62.504,5.690368347374848
LON-WEI-babf2c61-1,-7.4,7.472430395548898,-94.59,7.516126147186147
GIA-UNK-d2defdc3-3,-7.3,6.738310152569653,-80.087,7.01478811993563
BEN-DND-61647d40-14,-7.4,6.909365064047066,-79.7065,6.937648285769787
MAT-POS-590ac91e-9,-4.9,5.684042723776217,-64.2372,6.003697278221776
ROD-LAS-d5538ff9-6,-7.8,6.704044334054828,-75.7419,6.696380867632356
DAN-LON-a5fc619e-8,-6.3,6.266003326118323,-74.3398,6.755954118770118
VIJ-CYC-1a381570-12,-6.3,6.326512990731483,-74.497,5.999397575757572
LON-WEI-0a73fcb8-2,-6.3,6.7052573621933655,-64.4325,6.859307991841492
MAK-UNK-af83ef51-6,-6.0,5.767986647907644,-73.1138,6.164574921633923
LON-WEI-adc59df6-23,-7.0,7.3641980151515165,-90.6003,6.917483695582197
